speciesCode,cat,taxonOrder,aba
gragoo1,domestic,251,
swagoo2,domestic,253,
domgoo1,domestic,277,
musduc3,domestic,398,
musduc2,domestic,399,
mallar2,domestic,486,
helgui1,domestic,897,
wiltur1,domestic,1187,
indpea1,domestic,1472,
redjun1,domestic,1528,
rocpig1,domestic,1842,
afrcod1,domestic,2004,
cockat1,domestic,11676,
budger1,domestic,12004,
islcan1,domestic,31511,
gybbra1,form,283,
uplgoo2,form,362,
uplgoo3,form,363,
flistd2,form,389,
rocpig2,form,1828,
palcud1,form,2084,
manfrd1,form,2677,
timnig1,form,3621,
marher1,form,4201,
vicwoo1,form,4850,
grcwoo2,form,4857,
guahum1,form,4949,
hawcoo1,form,5357,
hawcoo2,form,5358,
amecoo,form,5362,
carcoo1,form,5363,
slccoo2,form,5366,
slccoo3,form,5367,
grncra1,form,5434,
whimbr5,form,5855,
rocsan5,form,5938,
bnhgul3,form,6270,
bnhgul2,form,6271,
icegul2,form,6362,
icegul,form,6364,
lbbgul5,form,6374,
lbbgul6,form,6375,
necstp1,form,6710,
leastp1,form,6728,
y00938,form,6729,
barstp4,form,6735,
barstp3,form,6736,
barstp5,form,6737,
bkcpet4,form,6801,
bkcpet3,form,6802,
goupri1,form,6834,
lavpet1,form,6854,
galshe1,form,6879,
galshe2,form,6880,
grecor6,form,7043,
impcor2,form,7096,
impcor3,form,7097,
punhaw1,form,8041,
rebhaw1,form,8042,
rethaw4,form,8099,
rethaw9,form,8100,
moubuz4,form,8141,
prisco1,form,8334,
saiowl1,form,8726,
whshao1,form,8934,
iniant1,form,12940,
intant1,form,13195,
lorant1,form,13196,
ariant1,form,13430,
calant1,form,13731,
lamtap1,form,13820,
yunwoo1,form,14013,
bahtre1,form,14501,
mantho1,form,14722,
arrspi1,form,14918,
necspi4,form,14943,
amaspi1,form,14956,
manspi1,form,14998,
whttit2,form,15325,
mappyt1,form,15643,
goftyr2,form,16146,
oriwat1,form,16163,
bacdro1,form,19749,
bisfly1,form,20931,
selwar1,form,24154,
leswhi1,form,24428,
y01048,form,24430,
y01050,form,24432,
y00752,form,24434,
